Gene_model,UniProt identifier (top hit and/or top hit with annotated GO),Description(s) of hit(s),E-value,Gene Ontology (GO) term,KEGG Orthology (KO) term,Pfam identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold1003.4,sp|Q5UNW1|YR707_MIMIV,Uncharacterized protein R707 OS=Acanthamoeba polyphaga mimivirus GN=MIMI_R707 PE=4 SV=1,1.98E-19,GO:0016757;GO:0016020;GO:0016021,NA,NA,48.13892563,-0.880529433,0.136251283,-6.462540492,1.03E-10,1.59E-09,TRUE
SymbC1.scaffold10030.1,tr|A0A1Q9E508|A0A1Q9E508_SYMMI;tr|A0A1Q9DUR2|A0A1Q9DUR2_SYMMI,description1:Vacuolar protein sorting-associated protein VTA1-like OS=Symbiodinium microadriaticum GN=vta1 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene18583 PE=4 SV=1,1.03E-18,GO:0016020;GO:0016021,NA,NA,50.43660814,-0.257455526,0.107609545,-2.392497128,0.016734159,0.04387897,TRUE
SymbC1.scaffold10035.2,sp|O14018|SYSC_SCHPO,"Serine--tRNA ligase, cytoplasmic OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC29A4.15 PE=3 SV=1",7.68E-155,GO:0000166;GO:0006434;GO:0006418;GO:0004828;GO:0002181;GO:0016874;GO:0004812;GO:0005829;GO:0005524;GO:0097056;GO:0006412;GO:0005737,K01875,PF02403;PF00587,93.68648752,0.741031737,0.112034328,6.614327529,3.73E-11,6.22E-10,TRUE
SymbC1.scaffold10038.1,tr|A0A1Q9D5D3|A0A1Q9D5D3_SYMMI;tr|A0A0L0D787|A0A0L0D787_THETB,description1:Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 3 OS=Symbiodinium microadriaticum GN=AK812_SmicGene28080 PE=4 SV=1//description2:Chromatin remodeling complex subunit OS=Thecamonas trahens ATCC 50062 GN=AMSG_04190 PE=4 SV=1,1.65E-10,GO:0005524,NA,NA,89.53050066,-0.205301608,0.079111612,-2.595088154,0.009456666,0.027082564,TRUE
SymbC1.scaffold10041.2,tr|A0A1Q9EN00|A0A1Q9EN00_SYMMI;tr|A0A1Q9E015|A0A1Q9E015_SYMMI,"description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene7646 PE=4 SV=1//description2:Chaperone protein ClpC1, chloroplastic OS=Symbiodinium microadriaticum GN=CLPC1 PE=4 SV=1",5.59E-38,GO:0005524,NA,NA,39.58446304,-0.36219276,0.120531669,-3.00495931,0.002656164,0.009057981,TRUE
SymbC1.scaffold10041.3,sp|P81628|ERP29_CHICK,Endoplasmic reticulum resident protein 29 (Fragment) OS=Gallus gallus GN=ERP29 PE=1 SV=2,2.80E-19,GO:0005783;GO:0005788;GO:0006457;GO:0006886;GO:0009306,K09586,PF07749;PF07912,61.78943008,-0.445448096,0.134074279,-3.322397839,0.000892,0.003504547,TRUE
SymbC1.scaffold10043.1,sp|O24633|PSB2B_ARATH,Proteasome subunit beta type-2-B OS=Arabidopsis thaliana GN=PBD2 PE=1 SV=1,1.36E-53,GO:0006508;GO:0004298;GO:0016787;GO:0000502;GO:0019774;GO:0051603;GO:0008233;GO:0004175;GO:0005634;GO:0005737;GO:0005839,K02734,PF00227,66.742103,0.806920118,0.129473239,6.232331297,4.6E-10,6.43E-09,TRUE
SymbC1.scaffold10043.2,tr|G0GAD7|G0GAD7_SPITZ;tr|A0A086PBV6|A0A086PBV6_SPHHM,description1:Uncharacterized protein OS=Spirochaeta thermophila (strain ATCC 700085 / DSM 6578 / Z-1203) GN=Spith_1493 PE=4 SV=1//description2:Uncharacterized protein OS=Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / NBRC 16415 / MH) GN=BV98_001405 PE=4 SV=1,7.12E-27,GO:0008253;GO:0016311;GO:0009264,NA,NA,10.97108248,0.964418599,0.232389988,4.150000642,0.0000332,0.000189,TRUE
SymbC1.scaffold10043.3,tr|A0A1Q9CLR3|A0A1Q9CLR3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene35345 PE=4 SV=1,1.55E-13,NA,NA,NA,142.278238,0.694850306,0.09693039,7.168549598,7.58E-13,1.6E-11,TRUE
SymbC1.scaffold10043.5,tr|A0A1Q9DEA8|A0A1Q9DEA8_SYMMI,"Malate dehydrogenase 1, mitochondrial OS=Symbiodinium microadriaticum GN=AK812_SmicGene24564 PE=4 SV=1",0.00000391,GO:0005975;GO:0016616;GO:0030060;GO:0006099;GO:0016491;GO:0055114;GO:0003824,NA,NA,3.096229072,4.369700659,1.01252561,4.315644579,0.0000159,0.0000974,TRUE
SymbC1.scaffold10044.1,tr|A0A1Q9CF87|A0A1Q9CF87_SYMMI,Mannose-specific lectin OS=Symbiodinium microadriaticum GN=dfa PE=4 SV=1,1.43E-77,GO:0009405;GO:0030246;GO:0090729,NA,PF01453,61.55285991,0.901147161,0.168557186,5.34623993,8.98E-08,0.000000866,TRUE
SymbC1.scaffold10044.2,tr|A0A1Q9CF87|A0A1Q9CF87_SYMMI,Mannose-specific lectin OS=Symbiodinium microadriaticum GN=dfa PE=4 SV=1,6.13E-08,GO:0009405;GO:0090729;GO:0030246,NA,NA,10.04906939,1.156452309,0.292600825,3.952320742,0.0000774,0.000404,TRUE
SymbC1.scaffold10056.1,sp|Q8RVL1|DEK1_MAIZE,Calpain-type cysteine protease DEK1 OS=Zea mays GN=DEK1 PE=1 SV=2,2.64E-16,GO:0008233;GO:2000014;GO:0005886;GO:0010008;GO:0042127;GO:0005768;GO:0005887;GO:0008234;GO:0009934;GO:0007275;GO:0009793;GO:0090628;GO:0006508;GO:0004198;GO:0005622;GO:0005737;GO:0097264;GO:0005789;GO:0001558;GO:0016021;GO:2000011;GO:0016020;GO:0005783;GO:0016787;GO:2000024,NA,PF00648,36.20280945,-0.534687911,0.199831596,-2.675692541,0.007457502,0.022097812,TRUE
SymbC1.scaffold1006.1,tr|A0A1Q9D3C2|A0A1Q9D3C2_SYMMI;tr|A0A1Q9EY64|A0A1Q9EY64_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene28825 PE=4 SV=1//description2:Calcium-dependent protein kinase 3 OS=Symbiodinium microadriaticum GN=CPK3 PE=4 SV=1,6.45E-28,GO:0006468;GO:0016310;GO:0004672;GO:0005524;GO:0016301,NA,NA,61.74272088,-0.93342509,0.130562642,-7.149250915,8.73E-13,1.82E-11,TRUE
SymbC1.scaffold1006.3,sp|Q9EPI9|KCNH5_RAT,Potassium voltage-gated channel subfamily H member 5 OS=Rattus norvegicus GN=Kcnh5 PE=2 SV=1,4.27E-10,GO:0034765;GO:0044325;GO:0005244;GO:0005887;GO:0009986;GO:0005267;GO:0000160;GO:0005516;GO:0046982;GO:0071805;GO:0055085;GO:0005622;GO:0042391;GO:0016021;GO:0005249;GO:0005216;GO:0006811;GO:0010389;GO:0016020;GO:0023014;GO:0006810;GO:0006813;GO:0000155,K04908,PF00520;PF00027,33.99745224,-0.38699775,0.117042372,-3.306475616,0.000945,0.003673446,TRUE
SymbC1.scaffold10060.2,sp|Q4U2R1|HERC2_MOUSE,E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 PE=1 SV=3,3.04E-13,GO:0046872;GO:0005814;GO:0061630;GO:0006281;GO:0032183;GO:0007283;GO:0005737;GO:0031625;GO:0016020;GO:0004842;GO:0008270;GO:0006974;GO:0005634;GO:0016567;GO:0005856;GO:0043161;GO:0005743;GO:0016740,K10595,PF00415,127.0387587,-0.243041922,0.088911993,-2.733511136,0.0062663,0.018940985,TRUE
SymbC1.scaffold10069.1,sp|F4K265|AT101_ARATH,Autophagy-related protein 101 OS=Arabidopsis thaliana GN=ATG101 PE=1 SV=1,2.03E-16,GO:0031410;GO:0005515;GO:0005776;GO:0006914;GO:0015031;GO:0006810,NA,PF07855,21.42681813,0.452349954,0.183031662,2.471430072,0.013457387,0.036497021,TRUE
SymbC1.scaffold1007.1,sp|Q6P2B1|TNPO3_MOUSE,Transportin-3 OS=Mus musculus GN=Tnpo3 PE=1 SV=1,8.17E-22,GO:0035048;GO:0015031;GO:0042802;GO:0005634;GO:0005737;GO:0008139;GO:0043231;GO:0031965;GO:0006606;GO:0006810;GO:0008565,NA,NA,68.19088545,-0.69310365,0.116661438,-5.941154693,2.83E-09,3.54E-08,TRUE
SymbC1.scaffold1007.2,tr|A0A1Q9DET8|A0A1Q9DET8_SYMMI,"Protease Do-like 1, chloroplastic OS=Symbiodinium microadriaticum GN=DEGP1 PE=4 SV=1",7.51E-152,GO:0008233;GO:0004252;GO:0006508,NA,NA,18.94735021,-1.193839086,0.156943349,-7.606815413,2.81E-14,7.19E-13,TRUE
SymbC1.scaffold1007.6,tr|A0A1Q9DER0|A0A1Q9DER0_SYMMI,GTP-binding protein 10-like OS=Symbiodinium microadriaticum GN=AK812_SmicGene24373 PE=4 SV=1,1.28E-114,GO:0015074;GO:0003676;GO:0046872;GO:0005525,NA,PF14769;PF13385,86.90836434,-0.650010106,0.096536773,-6.73329022,1.66E-11,2.89E-10,TRUE
SymbC1.scaffold10072.1,sp|F4JZ24|P4H10_ARATH,Probable prolyl 4-hydroxylase 10 OS=Arabidopsis thaliana GN=P4H10 PE=3 SV=1,1.85E-38,GO:0016491;GO:0051213;GO:0005789;GO:0031418;GO:0016021;GO:0019511;GO:0046872;GO:0004656;GO:0016020;GO:0016705;GO:0055114;GO:0005783;GO:0005506,K00472,PF00069;PF13640,87.71355393,0.233421199,0.099515884,2.34556726,0.01899815,0.048720221,TRUE
SymbC1.scaffold10079.2,tr|A0A1Q9EW35|A0A1Q9EW35_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene4520 PE=4 SV=1,4.79E-32,GO:0016020;GO:0016021,NA,NA,54.06098768,-0.706880223,0.117909665,-5.995099916,2.03E-09,2.59E-08,TRUE
SymbC1.scaffold10081.1,tr|A0A1Q9CFS6|A0A1Q9CFS6_SYMMI;tr|A0A1Q9BY70|A0A1Q9BY70_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene37642 PE=4 SV=1//description2:Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum GN=AK812_SmicGene44542 PE=4 SV=1,1.46E-88,GO:0008270;GO:0006508;GO:0004190;GO:0003676,NA,NA,30.77680121,5.383190134,0.353466744,15.22969337,2.25E-52,1.34E-49,TRUE
SymbC1.scaffold10088.1,sp|P31777|RLMJ_HAEIN,Ribosomal RNA large subunit methyltransferase J OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=rlmJ PE=1 SV=1,4.07E-18,GO:0070475;GO:0005829;GO:0008168;GO:0032259;GO:0003723;GO:0036307;GO:0016740;GO:0006364;GO:0008649,K07115,PF04378,2.810705649,1.193317595,0.503837312,2.368458165,0.0178624,0.046234543,TRUE
SymbC1.scaffold10089.1,tr|A0A1Q9CBZ0|A0A1Q9CBZ0_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene39141 PE=4 SV=1,1.26E-133,GO:0016020;GO:0007165;GO:0016021,NA,NA,18.53230589,1.312511468,0.237463266,5.527218959,3.25E-08,0.000000339,TRUE
SymbC1.scaffold1009.1,sp|Q45480|YLYB_BACSU,Uncharacterized RNA pseudouridine synthase YlyB OS=Bacillus subtilis (strain 168) GN=ylyB PE=3 SV=3,4.92E-09,GO:0009982;GO:0000455;GO:0005829;GO:0001522;GO:0003723;GO:0009451;GO:0016853,K06180,NA,33.36083941,-0.543255534,0.152449453,-3.563512524,0.000366,0.001606751,TRUE
SymbC1.scaffold10094.1,sp|Q07973|CP24A_HUMAN,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial OS=Homo sapiens GN=CYP24A1 PE=1 SV=2",6.48E-35,GO:0046872;GO:0005741;GO:0020037;GO:0042369;GO:0005654;GO:0006766;GO:0005506;GO:0005739;GO:0055114;GO:0016705;GO:0008403;GO:0033280;GO:0016491;GO:0001649;GO:0005634;GO:0005886;GO:0042359;GO:0030342;GO:0004497;GO:0070561,K07436,PF00067,21.682492,-0.951155385,0.197263082,-4.821760751,0.00000142,0.0000109,TRUE
SymbC1.scaffold10104.2,tr|A0A1Q9DAT2|A0A1Q9DAT2_SYMMI;tr|A0A1Q9DIG0|A0A1Q9DIG0_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene25884 PE=4 SV=1//description2:Histone-lysine N-methyltransferase EHMT1 OS=Symbiodinium microadriaticum GN=Ehmt1 PE=4 SV=1,3.15E-15,GO:0008168;GO:0016740;GO:0032259,NA,NA,2.731140909,-1.094681832,0.435157244,-2.515600615,0.011882975,0.032904206,TRUE
SymbC1.scaffold10104.3,tr|A0A1Q9DA57|A0A1Q9DA57_SYMMI,Putative phenylalanine--tRNA ligase beta subunit OS=Symbiodinium microadriaticum GN=AK812_SmicGene26211 PE=4 SV=1,3.16E-42,GO:0004826;GO:0000287;GO:0005737;GO:0005524;GO:0016874;GO:0006432;GO:0003723;GO:0000166,NA,NA,12.95584869,-0.537932755,0.19325878,-2.783484166,0.005377849,0.016652486,TRUE
SymbC1.scaffold10110.2,tr|A0A1Q9F676|A0A1Q9F676_SYMMI,Autophagy-related protein 18a OS=Symbiodinium microadriaticum GN=ATG18A PE=3 SV=1,1.63E-18,GO:0016021;GO:0003777;GO:0005524;GO:0007018;GO:0016020;GO:0008017;GO:0000166,NA,NA,37.3712207,-0.659943757,0.11403143,-5.787384749,7.15E-09,8.31E-08,TRUE
SymbC1.scaffold10122.1,sp|P05102|MTH1_HAEPH,Modification methylase HhaI OS=Haemophilus parahaemolyticus GN=hhaIM PE=1 SV=1,0.000000941,GO:0009307;GO:0032259;GO:0090116;GO:0016740;GO:0008168;GO:0003886,NA,PF00145,30.31196887,5.511044168,1.071178894,5.144840136,0.000000268,0.00000236,TRUE
SymbC1.scaffold10122.2,tr|A0A1Q9BYH8|A0A1Q9BYH8_SYMMI;tr|A0A1Q9EMG2|A0A1Q9EMG2_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene44446 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene7853 PE=4 SV=1,2.78E-19,GO:0051315;GO:0043515;GO:0007080;GO:0003777;GO:0007059;GO:0005623;GO:0008017,NA,NA,52.58984056,7.287776241,0.62710819,11.62124233,3.21E-31,4.19E-29,TRUE
SymbC1.scaffold1014.4,sp|P54399|PDI_DROME,Protein disulfide-isomerase OS=Drosophila melanogaster GN=Pdi PE=2 SV=1,2.64E-45,GO:0070732;GO:0005783;GO:0060187;GO:1902175;GO:0043025;GO:0005635;GO:0005737;GO:0003756;GO:0005791;GO:0048471;GO:0045454;GO:0005788;GO:0034976;GO:0019511;GO:0045169;GO:0016853;GO:0006457;GO:0005615;GO:0012505,K09580,PF00085,38.98586247,0.430355319,0.12576699,3.421846388,0.000622,0.002557737,TRUE
SymbC1.scaffold1014.5,sp|Q2KHT8|DIM1_BOVIN,Probable dimethyladenosine transferase OS=Bos taurus GN=DIMT1 PE=2 SV=1,3.3E-97,GO:0005730;GO:0000179;GO:0016740;GO:0008649;GO:0005759;GO:0006364;GO:0031167;GO:0052909;GO:0005829;GO:0008168;GO:0000154;GO:0005634;GO:0003723;GO:0032259,K14191,PF00398;PF01834,123.2696746,0.263059055,0.07179096,3.664236495,0.000248,0.001141499,TRUE
SymbC1.scaffold1014.7,sp|Q28HC6|TGT_XENTR,Queuine tRNA-ribosyltransferase catalytic subunit 1 OS=Xenopus tropicalis GN=qtrt1 PE=2 SV=2,2.13E-139,GO:0006400;GO:0008479;GO:0046982;GO:0016740;GO:0016757;GO:0016020;GO:0005739;GO:0016763;GO:0005741;GO:0046872;GO:0005737;GO:0101030;GO:0008033;GO:0042803,K00773,PF01702,32.73737019,0.424608389,0.133231839,3.186988878,0.001437623,0.005310055,TRUE
SymbC1.scaffold1014.8,sp|Q73E41|BACA1_BACC1,Calcium-transporting ATPase 1 OS=Bacillus cereus (strain ATCC 10987 / NRS 248) GN=BCE_0519 PE=1 SV=1,1.21E-140,GO:0000166;GO:0016787;GO:0099132;GO:0005388;GO:0006810;GO:0006811;GO:0016020;GO:0016021;GO:0005524;GO:0046872;GO:0006816;GO:0070588;GO:0005886,K01537,PF00122;PF00690;PF00689;PF00702,88.38248914,0.912142132,0.130735181,6.977021228,3.02E-12,5.81E-11,TRUE
SymbC1.scaffold1014.9,sp|Q73E41|BACA1_BACC1,Calcium-transporting ATPase 1 OS=Bacillus cereus (strain ATCC 10987 / NRS 248) GN=BCE_0519 PE=1 SV=1,2.67E-57,GO:0006811;GO:0016020;GO:0006810;GO:0005388;GO:0099132;GO:0016787;GO:0000166;GO:0005886;GO:0070588;GO:0006816;GO:0046872;GO:0016021;GO:0005524,K01537,PF00702,33.89546785,0.501694802,0.14118711,3.553403734,0.00038,0.001661963,TRUE
SymbC1.scaffold10144.2,sp|P0C5D7|PP2A4_ORYSI,Putative serine/threonine-protein phosphatase PP2A-4 catalytic subunit OS=Oryza sativa subsp. indica GN=PP2A4 PE=3 SV=1,8.16E-35,GO:0016787;GO:0004721;GO:0046872;GO:0005737;GO:0006470,NA,PF00149,66.97708519,0.44226884,0.114267326,3.870475098,0.000109,0.000545,TRUE
SymbC1.scaffold10145.1,tr|A0A1Q9EGX3|A0A1Q9EGX3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene10054 PE=4 SV=1,1.05E-154,GO:0003677;GO:0006310;GO:0015074,NA,NA,77.52684748,0.51967275,0.096132366,5.405804211,6.45E-08,0.00000064,TRUE
SymbC1.scaffold1015.2,tr|A0A1Q9DWV2|A0A1Q9DWV2_SYMMI,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Symbiodinium microadriaticum GN=SDH1 PE=3 SV=1",2.40E-14,GO:0050660;GO:0016020;GO:0006412;GO:0006099;GO:0005622;GO:0008177;GO:0003735;GO:0055114;GO:0005743;GO:0016491;GO:0016627;GO:0022900;GO:0005840,NA,NA,20.22665355,-0.404463948,0.159787642,-2.531259248,0.011365381,0.03167399,TRUE
SymbC1.scaffold1015.3,sp|Q9C912|R35A3_ARATH,60S ribosomal protein L35a-3 OS=Arabidopsis thaliana GN=RPL35AC PE=3 SV=1,7.72E-41,GO:0002181;GO:0003735;GO:0022625;GO:0030529;GO:0005840;GO:0005622;GO:0006412;GO:0042256;GO:0042273,K02917,PF01247,371.8095433,-0.801300251,0.140199161,-5.71544257,1.09E-08,0.000000123,TRUE
SymbC1.scaffold10168.1,sp|Q9M2G7|LPPD_ARATH,Lipid phosphate phosphatase delta OS=Arabidopsis thaliana GN=LPPD PE=2 SV=1,3.12E-25,GO:0009737;GO:0005789;GO:0090332;GO:0006629;GO:0016021;GO:0005783;GO:0016020;GO:0006665;GO:0016787,NA,PF01569,85.91246716,-0.325449113,0.096347703,-3.377860638,0.000731,0.002941882,TRUE
SymbC1.scaffold10168.2,tr|A0A1Q9EV87|A0A1Q9EV87_SYMMI,Voltage-dependent T-type calcium channel subunit alpha-1H OS=Symbiodinium microadriaticum GN=CACNA1H PE=4 SV=1,1.14E-38,GO:0005216;GO:0005509;GO:0006811;GO:0034220;GO:0016021;GO:0055085;GO:0016020,NA,PF16016,9.395204749,0.94977845,0.244498296,3.884601509,0.000102,0.000518,TRUE
SymbC1.scaffold10168.3,sp|Q8GWB7|GUX6_ARATH,Inositol phosphorylceramide glucuronosyltransferase 1 OS=Arabidopsis thaliana GN=IPUT1 PE=1 SV=1,4.95E-08,GO:0016740;GO:1990482;GO:0005802;GO:0015020;GO:0016757;GO:0016020;GO:0016021;GO:0046513;GO:0046872;GO:0005768;GO:0000139;GO:0005794,NA,NA,9.10081905,0.521661627,0.219394103,2.377737688,0.017419212,0.045303546,TRUE
SymbC1.scaffold1017.2,sp|Q55DS4|LIMG_DICDI,LIM domain-containing protein G OS=Dictyostelium discoideum GN=limG PE=4 SV=1,1.45E-09,GO:0046872,NA,PF00412,16.06179623,0.77085783,0.184719907,4.173117245,0.00003,0.000172,TRUE
SymbC1.scaffold1018.4,sp|O14792|HS3S1_HUMAN,Heparan sulfate glucosamine 3-O-sulfotransferase 1 OS=Homo sapiens GN=HS3ST1 PE=1 SV=1,1.74E-14,GO:0005794;GO:0008467;GO:0006024;GO:0016021;GO:0016740;GO:0005796;GO:0008146,K01024,PF00685,14.64794933,-0.445417386,0.183819234,-2.423127201,0.015387538,0.040904269,TRUE
