Gene_model,UniProt identifier (top hit and/or top hit with annotated GO),Description(s) of hit(s),E-value,Gene Ontology (GO) term,KEGG Orthology (KO) term,Pfam identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,Hw1-1a,Hw1-1b,Hw1-1c,Hw1-4a,Hw1-4b,Hw1-4c,Hw1-5a,Hw1-5b,Hw1-5c,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-1a,Hw2-1b,Hw2-1c,Hw2-4a,Hw2-4b,Hw2-4c,Hw2-5a,Hw2-5b,Hw2-5c,Hw2-6b,Hw2-6c,Wt1-1a,Wt1-1b,Wt1-1c,Wt1-4a,Wt1-4b,Wt1-4c,Wt1-5a,Wt1-5b,Wt1-5c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-1a,Wt2-1b,Wt2-1c,Wt2-4a,Wt2-4b,Wt2-4c,Wt2-5a,Wt2-5b,Wt2-5c,Wt2-6a,Wt2-6b,Wt2-6c
SymbC1.scaffold10015.3,tr|A0A1Q9E3Y9|A0A1Q9E3Y9_SYMMI,Nipped-B-like protein B OS=Symbiodinium microadriaticum GN=nipblb PE=4 SV=1,4.26E-10,NA,NA,NA,0.988727239,2.383716915,0.806913777,2.954116019,0.003135661,0.010457732,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,3,7,4,5,3,0,3,4,2,0,0,1,0,3,1,0,0,0,1,1,1,0,0,2,0,1,0,1,0,2,2,1
SymbC1.scaffold1002.10,tr|A0A1Q9CRR0|A0A1Q9CRR0_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene33372 PE=4 SV=1,1.06E-32,GO:0016020;GO:0016021,NA,NA,5.216346883,-0.964120141,0.317405206,-3.037505756,0.002385448,0.008242021,TRUE,9,10,9,6,11,4,10,8,21,9,14,20,2,3,2,9,5,5,2,14,4,9,10,1,1,2,2,4,11,3,4,14,6,5,9,5,1,0,6,1,7,1,2,0,6,18,2
SymbC1.scaffold1002.11,sp|Q90ZY4|SBK1_DANRE,Serine/threonine-protein kinase SBK1 OS=Danio rerio GN=sbk1 PE=1 SV=1,2.15E-15,GO:0016301;GO:0005737;GO:0004674;GO:0016310;GO:0005524;GO:0018107;GO:0018105;GO:0004672;GO:0016740;GO:0000166;GO:0006468,K08858,PF00668;PF00069,45.04290618,0.543294047,0.10320499,5.264222642,0.000000141,0.00000131,TRUE,17,23,24,39,40,27,46,47,78,69,80,67,54,24,17,100,61,67,103,108,44,102,132,22,40,30,35,36,110,27,42,68,48,80,52,57,16,19,38,36,113,24,30,15,49,113,34
SymbC1.scaffold1002.5,tr|A0A1Q9C0U3|A0A1Q9C0U3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene43507 PE=4 SV=1,0,GO:0016021;GO:0016020,NA,PF03619,40.320507,-0.593566145,0.109619748,-5.414773845,6.14E-08,0.000000609,TRUE,34,39,49,52,46,37,80,64,104,107,108,121,44,28,21,69,58,41,86,113,51,84,82,22,30,19,25,26,70,16,28,44,42,71,33,48,6,10,24,25,61,12,17,17,35,82,31
SymbC1.scaffold1002.9,tr|A0A0E9MH81|A0A0E9MH81_9PROT;tr|K6ZQE6|K6ZQE6_9ALTE,description1:Uncharacterized protein OS=Sulfuricella sp. T08 GN=SCT_2605 PE=4 SV=1//description2:Uncharacterized protein OS=Paraglaciecola psychrophila 170 GN=C427_3399 PE=4 SV=1,1.18E-143,GO:0016020;GO:0016021,NA,PF02696;PF00085,51.40027812,-0.739836875,0.113135502,-6.539387378,6.18E-11,9.91E-10,TRUE,33,41,69,91,55,46,99,62,126,145,181,167,55,46,23,107,85,84,122,139,69,156,152,12,33,22,28,21,75,29,27,51,35,109,50,46,4,12,35,26,86,14,28,16,45,98,35
SymbC1.scaffold10022.1,tr|C5LMX5|C5LMX5_PERM5,Putative uncharacterized protein OS=Perkinsus marinus (strain ATCC 50983 / TXsc) GN=Pmar_PMAR027801 PE=4 SV=1,1.12E-89,GO:0016491;GO:0055114;GO:0031418;GO:0016705;GO:0005506,NA,PF13640,14.21970371,0.603649803,0.204611265,2.95022761,0.003175399,0.010569109,TRUE,16,11,11,16,4,3,19,11,22,19,20,26,22,8,9,16,14,9,23,34,9,34,20,3,13,5,14,8,35,10,14,27,18,12,15,13,11,7,15,14,27,9,10,13,13,21,12
SymbC1.scaffold1003.11,sp|Q9M1H3|AB4F_ARATH,ABC transporter F family member 4 OS=Arabidopsis thaliana GN=ABCF4 PE=2 SV=1,9.83E-94,GO:0006810;GO:0005215;GO:0016887;GO:0000166;GO:0005524,K06184,PF00005,34.06139362,-0.559835038,0.158210828,-3.538538072,0.000402,0.00174826,TRUE,14,37,37,48,38,42,66,44,91,71,110,86,33,24,6,61,54,45,97,100,38,105,88,23,19,15,27,10,42,22,28,42,30,67,16,24,3,11,34,20,55,11,19,20,22,61,23
SymbC1.scaffold1003.4,sp|Q5UNW1|YR707_MIMIV,Uncharacterized protein R707 OS=Acanthamoeba polyphaga mimivirus GN=MIMI_R707 PE=4 SV=1,1.98E-19,GO:0016757;GO:0016020;GO:0016021,NA,NA,48.13892563,-0.880529433,0.136251283,-6.462540492,1.03E-10,1.59E-09,TRUE,51,59,47,72,59,36,105,64,119,138,148,140,57,46,65,92,71,49,116,106,57,119,112,14,33,16,20,24,70,20,38,34,18,68,31,66,15,22,28,24,67,12,22,15,24,58,15
SymbC1.scaffold10030.1,tr|A0A1Q9E508|A0A1Q9E508_SYMMI;tr|A0A1Q9DUR2|A0A1Q9DUR2_SYMMI,description1:Vacuolar protein sorting-associated protein VTA1-like OS=Symbiodinium microadriaticum GN=vta1 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene18583 PE=4 SV=1,1.03E-18,GO:0016020;GO:0016021,NA,NA,50.43660814,-0.257455526,0.107609545,-2.392497128,0.016734159,0.04387897,TRUE,48,40,57,64,44,33,108,45,124,132,150,134,60,48,28,104,45,45,84,120,42,97,115,18,39,18,30,38,87,21,49,59,49,68,56,56,16,14,48,47,84,20,32,27,45,97,36
SymbC1.scaffold10035.2,sp|O14018|SYSC_SCHPO,"Serine--tRNA ligase, cytoplasmic OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC29A4.15 PE=3 SV=1",7.68E-155,GO:0000166;GO:0006434;GO:0006418;GO:0004828;GO:0002181;GO:0016874;GO:0004812;GO:0005829;GO:0005524;GO:0097056;GO:0006412;GO:0005737,K01875,PF02403;PF00587,93.68648752,0.741031737,0.112034328,6.614327529,3.73E-11,6.22E-10,TRUE,46,26,54,84,70,46,136,81,187,167,179,176,51,36,17,118,100,70,135,118,88,181,192,60,86,60,67,96,240,63,123,185,117,153,121,109,32,28,91,105,199,57,107,96,114,270,73
SymbC1.scaffold10038.1,tr|A0A1Q9D5D3|A0A1Q9D5D3_SYMMI;tr|A0A0L0D787|A0A0L0D787_THETB,description1:Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 3 OS=Symbiodinium microadriaticum GN=AK812_SmicGene28080 PE=4 SV=1//description2:Chromatin remodeling complex subunit OS=Thecamonas trahens ATCC 50062 GN=AMSG_04190 PE=4 SV=1,1.65E-10,GO:0005524,NA,NA,89.53050066,-0.205301608,0.079111612,-2.595088154,0.009456666,0.027082564,TRUE,88,83,97,113,99,72,136,124,194,188,203,223,105,74,58,137,97,93,176,167,91,162,181,30,77,34,68,65,198,46,80,105,93,131,88,85,19,37,65,81,176,39,51,39,96,213,53
SymbC1.scaffold10041.2,tr|A0A1Q9EN00|A0A1Q9EN00_SYMMI;tr|A0A1Q9E015|A0A1Q9E015_SYMMI,"description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene7646 PE=4 SV=1//description2:Chaperone protein ClpC1, chloroplastic OS=Symbiodinium microadriaticum GN=CLPC1 PE=4 SV=1",5.59E-38,GO:0005524,NA,NA,39.58446304,-0.36219276,0.120531669,-3.00495931,0.002656164,0.009057981,TRUE,20,26,33,72,25,28,84,57,119,94,136,131,36,20,15,74,53,38,95,87,47,72,91,21,38,12,38,30,90,21,30,59,37,52,47,41,7,11,37,15,61,13,22,22,47,104,29
SymbC1.scaffold10041.3,sp|P81628|ERP29_CHICK,Endoplasmic reticulum resident protein 29 (Fragment) OS=Gallus gallus GN=ERP29 PE=1 SV=2,2.80E-19,GO:0005783;GO:0005788;GO:0006457;GO:0006886;GO:0009306,K09586,PF07749;PF07912,61.78943008,-0.445448096,0.134074279,-3.322397839,0.000892,0.003504547,TRUE,83,65,58,85,70,46,110,69,145,191,162,138,73,59,38,79,62,46,116,126,80,133,137,20,54,27,34,25,94,33,49,100,29,102,56,61,12,27,41,38,85,41,44,44,41,90,33
SymbC1.scaffold10043.1,sp|O24633|PSB2B_ARATH,Proteasome subunit beta type-2-B OS=Arabidopsis thaliana GN=PBD2 PE=1 SV=1,1.36E-53,GO:0006508;GO:0004298;GO:0016787;GO:0000502;GO:0019774;GO:0051603;GO:0008233;GO:0004175;GO:0005634;GO:0005737;GO:0005839,K02734,PF00227,66.742103,0.806920118,0.129473239,6.232331297,4.6E-10,6.43E-09,TRUE,36,36,38,42,50,28,76,38,85,82,86,83,80,65,68,137,93,74,150,156,81,152,177,24,59,42,58,44,114,55,63,110,59,130,52,122,9,30,48,53,149,29,67,57,59,112,45
SymbC1.scaffold10043.2,tr|G0GAD7|G0GAD7_SPITZ;tr|A0A086PBV6|A0A086PBV6_SPHHM,description1:Uncharacterized protein OS=Spirochaeta thermophila (strain ATCC 700085 / DSM 6578 / Z-1203) GN=Spith_1493 PE=4 SV=1//description2:Uncharacterized protein OS=Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / NBRC 16415 / MH) GN=BV98_001405 PE=4 SV=1,7.12E-27,GO:0008253;GO:0016311;GO:0009264,NA,NA,10.97108248,0.964418599,0.232389988,4.150000642,0.0000332,0.000189,TRUE,2,1,9,13,5,4,6,5,18,10,13,12,19,10,6,31,10,21,22,30,10,14,35,5,13,2,9,17,36,7,10,11,15,29,11,8,3,6,14,8,24,6,8,6,11,28,7
SymbC1.scaffold10043.3,tr|A0A1Q9CLR3|A0A1Q9CLR3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene35345 PE=4 SV=1,1.55E-13,NA,NA,NA,142.278238,0.694850306,0.09693039,7.168549598,7.58E-13,1.6E-11,TRUE,85,89,85,89,92,59,145,132,216,188,196,188,192,112,99,228,154,120,366,438,162,453,368,77,150,82,76,99,182,82,199,243,140,214,149,222,48,65,90,114,275,84,118,108,121,280,81
SymbC1.scaffold10043.5,tr|A0A1Q9DEA8|A0A1Q9DEA8_SYMMI,"Malate dehydrogenase 1, mitochondrial OS=Symbiodinium microadriaticum GN=AK812_SmicGene24564 PE=4 SV=1",3.91E-06,GO:0005975;GO:0016616;GO:0030060;GO:0006099;GO:0016491;GO:0055114;GO:0003824,NA,NA,3.096229072,4.369700659,1.01252561,4.315644579,0.0000159,0.0000974,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7,8,5,16,1,8,17,13,6,5,1,0,0,0,0,0,4,8,0,10,18,0
SymbC1.scaffold10044.1,tr|A0A1Q9CF87|A0A1Q9CF87_SYMMI,Mannose-specific lectin OS=Symbiodinium microadriaticum GN=dfa PE=4 SV=1,1.43E-77,GO:0009405;GO:0030246;GO:0090729,NA,PF01453,61.55285991,0.901147161,0.168557186,5.34623993,8.98E-08,0.000000866,TRUE,51,39,52,52,54,28,67,70,105,109,116,98,28,8,10,17,13,13,28,35,36,23,23,37,103,65,51,57,160,54,73,107,80,25,80,62,24,46,76,103,218,45,56,42,101,187,68
SymbC1.scaffold10044.2,tr|A0A1Q9CF87|A0A1Q9CF87_SYMMI,Mannose-specific lectin OS=Symbiodinium microadriaticum GN=dfa PE=4 SV=1,6.13E-08,GO:0009405;GO:0090729;GO:0030246,NA,NA,10.04906939,1.156452309,0.292600825,3.952320742,0.0000774,0.000404,TRUE,2,8,3,6,8,9,2,8,20,13,15,11,1,1,1,8,0,1,3,5,9,1,0,7,18,14,16,8,24,13,15,27,18,5,19,12,4,6,4,12,38,11,6,8,12,34,10
SymbC1.scaffold10056.1,sp|Q8RVL1|DEK1_MAIZE,Calpain-type cysteine protease DEK1 OS=Zea mays GN=DEK1 PE=1 SV=2,2.64E-16,GO:0008233;GO:2000014;GO:0005886;GO:0010008;GO:0042127;GO:0005768;GO:0005887;GO:0008234;GO:0009934;GO:0007275;GO:0009793;GO:0090628;GO:0006508;GO:0004198;GO:0005622;GO:0005737;GO:0097264;GO:0005789;GO:0001558;GO:0016021;GO:2000011;GO:0016020;GO:0005783;GO:0016787;GO:2000024,NA,PF00648,36.20280945,-0.534687911,0.199831596,-2.675692541,0.007457502,0.022097812,TRUE,17,22,48,70,58,30,72,66,116,98,131,141,42,28,18,89,60,46,74,96,51,94,96,6,16,6,9,7,34,24,18,14,10,59,8,43,11,17,50,32,90,15,9,19,14,38,26
SymbC1.scaffold1006.1,tr|A0A1Q9D3C2|A0A1Q9D3C2_SYMMI;tr|A0A1Q9EY64|A0A1Q9EY64_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene28825 PE=4 SV=1//description2:Calcium-dependent protein kinase 3 OS=Symbiodinium microadriaticum GN=CPK3 PE=4 SV=1,6.45E-28,GO:0006468;GO:0016310;GO:0004672;GO:0005524;GO:0016301,NA,NA,61.74272088,-0.93342509,0.130562642,-7.149250915,8.73E-13,1.82E-11,TRUE,66,64,55,83,61,46,134,116,184,169,211,193,93,62,49,125,86,72,160,186,91,214,177,21,41,20,23,20,64,17,54,71,34,108,36,81,5,22,30,26,95,25,32,12,26,81,29
SymbC1.scaffold1006.3,sp|Q9EPI9|KCNH5_RAT,Potassium voltage-gated channel subfamily H member 5 OS=Rattus norvegicus GN=Kcnh5 PE=2 SV=1,4.27E-10,GO:0034765;GO:0044325;GO:0005244;GO:0005887;GO:0009986;GO:0005267;GO:0000160;GO:0005516;GO:0046982;GO:0071805;GO:0055085;GO:0005622;GO:0042391;GO:0016021;GO:0005249;GO:0005216;GO:0006811;GO:0010389;GO:0016020;GO:0023014;GO:0006810;GO:0006813;GO:0000155,K04908,PF00520;PF00027,33.99745224,-0.38699775,0.117042372,-3.306475616,0.000945,0.003673446,TRUE,8,30,37,67,38,42,53,51,86,89,117,122,18,12,10,59,44,31,49,48,37,49,76,15,27,18,20,26,81,14,37,43,40,56,49,22,6,11,37,26,79,13,20,8,45,84,32
SymbC1.scaffold10060.2,sp|Q4U2R1|HERC2_MOUSE,E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 PE=1 SV=3,3.04E-13,GO:0046872;GO:0005814;GO:0061630;GO:0006281;GO:0032183;GO:0007283;GO:0005737;GO:0031625;GO:0016020;GO:0004842;GO:0008270;GO:0006974;GO:0005634;GO:0016567;GO:0005856;GO:0043161;GO:0005743;GO:0016740,K10595,PF00415,127.0387587,-0.243041922,0.088911993,-2.733511136,0.0062663,0.018940985,TRUE,67,105,147,203,147,131,201,235,352,264,369,385,110,76,35,165,129,128,221,222,144,215,257,44,72,70,88,86,240,48,115,170,121,173,124,119,44,45,93,99,254,76,98,87,124,294,76
SymbC1.scaffold10069.1,sp|F4K265|AT101_ARATH,Autophagy-related protein 101 OS=Arabidopsis thaliana GN=ATG101 PE=1 SV=1,2.03E-16,GO:0031410;GO:0005515;GO:0005776;GO:0006914;GO:0015031;GO:0006810,NA,PF07855,21.42681813,0.452349954,0.183031662,2.471430072,0.013457387,0.036497021,TRUE,16,12,11,23,17,21,33,25,42,43,45,28,11,8,9,24,21,9,30,39,19,42,34,9,23,15,16,14,37,16,21,28,16,27,23,27,9,10,15,26,38,17,23,35,14,28,16
SymbC1.scaffold1007.1,sp|Q6P2B1|TNPO3_MOUSE,Transportin-3 OS=Mus musculus GN=Tnpo3 PE=1 SV=1,8.17E-22,GO:0035048;GO:0015031;GO:0042802;GO:0005634;GO:0005737;GO:0008139;GO:0043231;GO:0031965;GO:0006606;GO:0006810;GO:0008565,NA,NA,68.19088545,-0.69310365,0.116661438,-5.941154693,2.83E-09,3.54E-08,TRUE,34,46,69,120,88,73,143,120,197,191,208,229,76,33,34,154,110,104,182,156,107,205,199,22,38,20,33,51,94,26,40,55,34,120,46,82,23,15,37,46,99,28,37,14,53,135,39
SymbC1.scaffold1007.2,tr|A0A1Q9DET8|A0A1Q9DET8_SYMMI,"Protease Do-like 1, chloroplastic OS=Symbiodinium microadriaticum GN=DEGP1 PE=4 SV=1",7.51E-152,GO:0008233;GO:0004252;GO:0006508,NA,NA,18.94735021,-1.193839086,0.156943349,-7.606815413,2.81E-14,7.19E-13,TRUE,19,24,33,36,35,17,49,26,75,69,78,73,14,9,11,25,21,9,20,28,19,25,37,6,18,6,16,15,41,9,13,27,19,18,14,13,4,3,10,12,29,6,13,3,9,38,15
SymbC1.scaffold1007.6,tr|A0A1Q9DER0|A0A1Q9DER0_SYMMI,GTP-binding protein 10-like OS=Symbiodinium microadriaticum GN=AK812_SmicGene24373 PE=4 SV=1,1.28E-114,GO:0015074;GO:0003676;GO:0046872;GO:0005525,NA,PF14769;PF13385,86.90836434,-0.650010106,0.096536773,-6.73329022,1.66E-11,2.89E-10,TRUE,57,79,101,128,108,57,177,95,223,213,241,271,141,54,58,176,134,128,209,259,94,243,245,31,50,28,59,57,171,41,81,82,72,148,72,108,20,19,57,54,126,28,52,15,73,139,41
SymbC1.scaffold10072.1,sp|F4JZ24|P4H10_ARATH,Probable prolyl 4-hydroxylase 10 OS=Arabidopsis thaliana GN=P4H10 PE=3 SV=1,1.85E-38,GO:0016491;GO:0051213;GO:0005789;GO:0031418;GO:0016021;GO:0019511;GO:0046872;GO:0004656;GO:0016020;GO:0016705;GO:0055114;GO:0005783;GO:0005506,K00472,PF00069;PF13640,87.71355393,0.233421199,0.099515884,2.34556726,0.01899815,0.048720221,TRUE,67,56,92,103,68,48,129,144,190,192,195,185,84,56,47,116,79,83,172,144,87,144,177,25,89,48,56,47,159,32,104,146,68,122,81,109,26,48,88,111,198,55,78,51,82,166,69
SymbC1.scaffold10079.2,tr|A0A1Q9EW35|A0A1Q9EW35_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene4520 PE=4 SV=1,4.79E-32,GO:0016020;GO:0016021,NA,NA,54.06098768,-0.706880223,0.117909665,-5.995099916,2.03E-09,2.59E-08,TRUE,37,39,68,95,76,46,78,92,148,135,161,152,67,26,16,126,84,73,98,92,75,92,146,17,33,17,57,46,109,35,57,59,69,91,45,42,13,11,53,19,82,18,25,19,46,109,31
SymbC1.scaffold10081.1,tr|A0A1Q9CFS6|A0A1Q9CFS6_SYMMI;tr|A0A1Q9BY70|A0A1Q9BY70_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene37642 PE=4 SV=1//description2:Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum GN=AK812_SmicGene44542 PE=4 SV=1,1.46E-88,GO:0008270;GO:0006508;GO:0004190;GO:0003676,NA,NA,30.77680121,5.383190134,0.353466744,15.22969337,2.25E-52,1.34E-49,TRUE,1,1,2,2,2,1,4,2,4,2,1,2,0,2,2,2,1,1,1,5,3,3,3,33,72,26,50,42,127,33,58,97,51,17,43,21,17,32,41,69,120,42,44,29,65,111,36
SymbC1.scaffold10088.1,sp|P31777|RLMJ_HAEIN,Ribosomal RNA large subunit methyltransferase J OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=rlmJ PE=1 SV=1,4.07E-18,GO:0070475;GO:0005829;GO:0008168;GO:0032259;GO:0003723;GO:0036307;GO:0016740;GO:0006364;GO:0008649,K07115,PF04378,2.810705649,1.193317595,0.503837312,2.368458165,0.0178624,0.046234543,TRUE,2,0,3,1,3,0,2,0,5,3,3,3,2,0,1,1,3,0,2,1,0,3,1,8,9,3,4,3,15,1,1,1,1,0,9,5,0,1,1,4,11,3,0,0,10,4,3
SymbC1.scaffold10089.1,tr|A0A1Q9CBZ0|A0A1Q9CBZ0_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene39141 PE=4 SV=1,1.26E-133,GO:0016020;GO:0007165;GO:0016021,NA,NA,18.53230589,1.312511468,0.237463266,5.527218959,3.25E-08,0.000000339,TRUE,4,6,14,31,10,8,13,17,35,19,17,21,10,5,2,32,15,13,24,27,30,12,49,5,12,2,20,16,30,23,15,24,31,27,15,19,15,10,33,39,60,12,7,21,24,44,16
